name,calories,proteins,lipids,carbs,fibers,userId,
Suc fructe de padure Tymbark,27,0,0,7,1,admin,
Suc lemon lime Adria,7,0,0,2,0,admin,
Suc light cu aloe vera Vedda,2,0,0,0,0,admin,
Suc mango Phaner,47,0,0,11,0,admin,
Suc mere 50% Sun Gold ,38,0,0,10,0,admin,
Suc mere si zmeura Ciao,28,0,0,7,0,admin,
Suc morcov si mar Vita Premium,35,0,0,9,1,admin,
Suc morcov capsuni lamaie verde mar Tedi Play,44,0,0,11,0,admin,
Suc morcov gutui si mere cu pulpa Vita Premium,40,2,1,10,2,admin,
Suc morcovimereportocale Carotella Plus,45,0,0,11,1,admin,
Suc multifruct Becker Bester FruhstucksSalt,48,0,0,11,0,admin,
Suc multifruct multivitamine fara zahar Pfanner,53,0,0,12,0,admin,
Suc natural Aloe Vera King,38,0,0,9,0,admin,
Suc natural de grapefruit,41,1,0,10,0,admin,
Suc natural de lamaie,26,0,0,9,0,admin,
Suc natural de mere,47,0,0,12,0,admin,
Suc natural de mere 100% Santal,45,0,0,11,0,admin,
Suc natural de mere Gusturi Romanesti,47,0,0,11,0,admin,
Suc natural de merisoare Santal,44,0,0,11,0,admin,
Suc natural de morcovi,29,1,0,6,1,admin,
Suc natural de portocale fara zahar Santal,40,1,0,9,0,admin,
Suc natural de portocale rosii Santal,46,0,0,11,0,admin,
Suc natural de rodii Santal,55,0,0,14,0,admin,
Suc natural sfecla rosie cu lamaie Golden Valley,37,1,0,8,0,admin,
Suc portocale Active Fitness Pfanner,14,0,0,3,0,admin,
Suc portocale Bravo,41,0,0,11,0,admin,
Suc portocale Cappy Tempo,47,0,0,15,0,admin,
Suc portocale clasic fara zahar Tymbark,44,1,0,10,0,admin,
Suc portocale grecesti Olympus,48,1,0,12,0,admin,
Suc portocale Hohes C ,43,1,0,9,1,admin,
Suc portocale100% cu pulpa Pfanner,43,1,0,9,1,admin,
Suc raw juice mar ananas kale spanac menta Urban Monkey,38,1,0,7,0,admin,
Suc raw juice mar morcov sfecla ghimbir lamaie Urban Monkey,39,1,0,8,0,admin,
Suc raw mar para zmeura Urban Monkey,42,0,0,10,0,admin,
Suc raw portocala morcov amanas mango ghimbir Urban Monkey,39,1,0,8,2,admin,
Suc rosii Santal,20,1,0,4,0,admin,
Suc rosii Tymbark,15,1,0,2,0,admin,
Suc sfecla rosie,50,0,0,11,2,admin,
Suc struguri Hey Ho,20,0,0,5,0,admin,
Suc Tazo Giant Peach,40,0,0,9,0,admin,
Suc tutti frutti Adria,7,0,0,2,0,admin,
Suc Veganade piesica morcov zmeura ardei mersor Mega Image,27,1,1,5,3,admin,
Suc visine Souplesse,12,0,0,3,0,admin,
Tassimo latte macchiato caramel Jacobs,42,2,2,5,0,admin,
Tedi cu morcovi si banane,52,0,0,12,0,admin,
Tequila,108,0,0,0,0,admin,
Tequila Sunrise,110,0,0,11,0,admin,
Tuica,250,0,0,0,0,admin,
Vermut 13%,158,0,0,16,0,admin,
Vin alb demi-dulce,70,0,0,2,0,admin,
Vin alb sec,73,0,0,2,0,admin,
Vin demi-sec,78,0,0,4,0,admin,
Vin rosu demi-dulce,98,0,0,6,0,admin,
Vin rosu demi-sec,83,0,0,3,0,admin,
Vin rosu dulce,106,0,0,8,0,admin,
Vin rosu sec,75,0,0,3,0,admin,
Vodka,231,0,0,0,0,admin,
Whiskey,251,0,0,0,0,admin,
